roomTypeName,roomType,roomTypePrice,roomTypeOccupancy,roomTypeCancellation,hotelid
Classic Triple Room,breakfast,2028,2,non_refundable,62ff4459d734cbddc96edbc60a5b1084
Classic Triple Room,breakfast,2522,2,non_refundable,62ff4459d734cbddc96edbc60a5b1084
Classic Triple Room,breakfast,1760,3,non_refundable,62ff4459d734cbddc96edbc60a5b1084
Standard Triple Room,Room Only,1788,1,free_cancellation,84f916cc94d5567e5e5c2b1a8de0b5e1
Standard Triple Room,Room Only,2161,2,free_cancellation,84f916cc94d5567e5e5c2b1a8de0b5e1
Standard Triple Room,Room Only,1430,3,free_cancellation,84f916cc94d5567e5e5c2b1a8de0b5e1
Classic Triple Room,Room Only,1324,1,free_cancellation,c717d62ed414df37ae94350f9c34a8f9
Classic Triple Room,Room Only,1724,2,free_cancellation,c717d62ed414df37ae94350f9c34a8f9
Classic Triple Room,Room Only,1531,1,free_cancellation,c717d62ed414df37ae94350f9c34a8f9
Budget Double Room,breakfast,1569,2,free_cancellation,c717d62ed414df37ae94350f9c34a8f9
Budget Double Room,breakfast,1276,1,free_cancellation,c717d62ed414df37ae94350f9c34a8f9
Deluxe Double or Twin Room,Room Only,2240,2,free_cancellation,bba91bebf1ccaf5e5300ec111d2627dc
Deluxe Double or Twin Room,Room Only,2016,3,free_cancellation,bba91bebf1ccaf5e5300ec111d2627dc
Deluxe Double or Twin Room with Balcony,Room Only,2240,2,free_cancellation,bba91bebf1ccaf5e5300ec111d2627dc
Deluxe Double or Twin Room with Balcony,Room Only,2016,1,free_cancellation,bba91bebf1ccaf5e5300ec111d2627dc
Deluxe Double or Twin Room,Room Only,2240,1,free_cancellation,bba91bebf1ccaf5e5300ec111d2627dc
Deluxe Double or Twin Room,Room Only,2016,2,free_cancellation,bba91bebf1ccaf5e5300ec111d2627dc
Deluxe Double or Twin Room,Room Only,2240,3,free_cancellation,bba91bebf1ccaf5e5300ec111d2627dc
Deluxe Double or Twin Room,Room Only,2016,1,free_cancellation,bba91bebf1ccaf5e5300ec111d2627dc
Deluxe Double or Twin Room,Room Only,2800,2,free_cancellation,bba91bebf1ccaf5e5300ec111d2627dc
Deluxe Double or Twin Room,Room Only,2240,1,free_cancellation,bba91bebf1ccaf5e5300ec111d2627dc
Executive Room,Room Only,12891,3,free_cancellation,163e025693c182ee124036226dbe8aa6
Executive Room,breakfast,14355,3,non_refundable,163e025693c182ee124036226dbe8aa6
Executive Room,breakfast,13317,2,non_refundable,163e025693c182ee124036226dbe8aa6
Deluxe Room,Room Only,13570,1,non_refundable,163e025693c182ee124036226dbe8aa6
Deluxe Room,breakfast,15056,2,non_refundable,163e025693c182ee124036226dbe8aa6
Deluxe Room,breakfast,14018,3,non_refundable,163e025693c182ee124036226dbe8aa6
Signature Room,breakfast,16614,1,non_refundable,163e025693c182ee124036226dbe8aa6
Signature Room,breakfast,15576,2,non_refundable,163e025693c182ee124036226dbe8aa6
Manor Suite,breakfast,22844,2,non_refundable,163e025693c182ee124036226dbe8aa6
Manor Suite,half_board,29498,1,non_refundable,163e025693c182ee124036226dbe8aa6
Manor Suite,breakfast,21806,3,free_cancellation,163e025693c182ee124036226dbe8aa6
Apartment,Room Only,1242,1,free_cancellation,070db6c3cad20196fa475b3daf16612e
Apartment,Room Only,1185,2,free_cancellation,070db6c3cad20196fa475b3daf16612e
Twin Room with City View,Room Only,600,2,free_cancellation,03a41d4ed1d257fa2ccbaadc7b83cecb
Suite with Balcony,Room Only,5000,1,free_cancellation,03a41d4ed1d257fa2ccbaadc7b83cecb
Single Bed in Female Dormitory Room,Room Only,300,1,free_cancellation,03a41d4ed1d257fa2ccbaadc7b83cecb
Single Bed in Mixed Dormitory Room,Room Only,300,1,free_cancellation,03a41d4ed1d257fa2ccbaadc7b83cecb
Single Bed in Mixed Dormitory Room,Room Only,300,1,free_cancellation,03a41d4ed1d257fa2ccbaadc7b83cecb
Bed in 8-Bed Mixed Dormitory Room,Room Only,300,1,free_cancellation,03a41d4ed1d257fa2ccbaadc7b83cecb
Single Bed in Mixed Dormitory Room,Room Only,450,1,non_refundable,03a41d4ed1d257fa2ccbaadc7b83cecb
Standard Double or Twin Room with Fan,Room Only,1577,3,non_refundable,51d3e4bb8f57f52696105dced23f1060
Standard Double or Twin Room with Fan,breakfast,1183,3,non_refundable,51d3e4bb8f57f52696105dced23f1060
Standard Double or Twin Room with Fan,Room Only,1380,2,non_refundable,51d3e4bb8f57f52696105dced23f1060
Standard Double or Twin Room with Fan,breakfast,2269,1,free_cancellation,51d3e4bb8f57f52696105dced23f1060
Standard Double or Twin Room,breakfast,1922,2,free_cancellation,51d3e4bb8f57f52696105dced23f1060
Standard Double or Twin Room,breakfast,836,1,free_cancellation,51d3e4bb8f57f52696105dced23f1060
Standard Single Room,Room Only,1133,2,free_cancellation,51d3e4bb8f57f52696105dced23f1060
Standard Single Room,breakfast,5880,2,non_refundable,51d3e4bb8f57f52696105dced23f1060
One-Bedroom Chalet,half_board,1232,2,non_refundable,1f3b03bf12b8206e2c809f8645e2f2c9
Deluxe Double Room,Room Only,1680,3,non_refundable,3a1e4bb3e831b959ad425541080c4de0
Deluxe Double Room,Room Only,1234,1,non_refundable,3a1e4bb3e831b959ad425541080c4de0
